,date,price
946,2018-10-29,10250.85
947,2018-10-30,10198.4
948,2018-10-31,10386.6
949,2018-11-01,10380.45
950,2018-11-02,10553.0
951,2018-11-05,10524.0
952,2018-11-06,10530.0
953,2018-11-07,10598.85
954,2018-11-09,10585.2
955,2018-11-12,10482.2
956,2018-11-13,10582.5
957,2018-11-14,10576.3
958,2018-11-15,10616.7
959,2018-11-16,10682.2
960,2018-11-19,10763.4
961,2018-11-20,10656.2
962,2018-11-21,10600.05
963,2018-11-22,10526.75
964,2018-11-26,10628.6
965,2018-11-27,10685.6
966,2018-11-28,10728.85
967,2018-11-29,10858.7
968,2018-11-30,10876.75
969,2018-12-03,10883.75
970,2018-12-04,10869.5
971,2018-12-05,10782.9
972,2018-12-06,10601.15
973,2018-12-07,10693.7
974,2018-12-10,10488.45
975,2018-12-11,10549.15
976,2018-12-12,10737.6
977,2018-12-13,10791.55
978,2018-12-14,10805.45
979,2018-12-17,10888.35
980,2018-12-18,10908.7
981,2018-12-19,10967.3
982,2018-12-20,10951.7
983,2018-12-21,10754.0
984,2018-12-24,10663.5
985,2018-12-26,10729.85
986,2018-12-27,10779.8
987,2018-12-28,10859.9
988,2018-12-31,10862.55
989,2019-01-01,10910.1
990,2019-01-02,10792.5
991,2019-01-03,10672.25
992,2019-01-04,10727.35
993,2019-01-07,10771.8
994,2019-01-08,10802.15
995,2019-01-09,10855.15
996,2019-01-10,10821.6
